Topic	topic_authority	coverage
loans	96	2
credit cards	62	55
mortgage	5	17
interest	60	55
insurance	10	10
tax	21	2
investment	31	41
debt	90	51
stock	29	11
Employers	53	91
individual retirement account	5	31
investors	93	19
401(k)	85	4
retirement	78	97
high-yield checking accounts	15	34
credit history	36	10
refinancing	68	100
Social Security	62	74
credit score	46	99
interest rate	48	47
fees	36	12
mutual fund	89	79
Exchange-traded funds	71	7
the Federal Reserve	68	64
bankruptcy	50	22
Life insurance	16	96
dividends	13	12
student loan	8	46
IRS	6	96
car insurance	77	55
pension plan	1	32
coupon	20	38
Roth IRAs	68	23
foreclosure	15	86
expenses	73	52
leases	51	11
inflation	11	95
finance	67	24
health insurance	90	65
tax returns	92	83
federal income tax	74	68
landlord	3	77
payment	33	88
overdraft protection	86	63
Securities	53	61
financial aid	55	20
Treasury Inflation-Protected Securities	30	30
annuities	71	99
money	12	32
sales	7	3
rental	41	96
estate tax	63	41
the Affordable Care Act	8	31
Federal Housing Administration	26	64
social media	37	11
retailers	92	9
interns	99	71
homeowners	6	74
W-4 form	69	73
Visa	1	12
deductible	42	51
Index funds	23	92
resumes	56	63
Annual percentage rate	71	33
FICO scores	33	97
probate	1	60
financial future	26	62
eBay.com	53	51
asset	46	16
depreciation	87	29
traditional IRAs	93	67
Rewards program	43	80
salaries	78	47
savings account	76	70
stock market	68	29
identity theft	91	92
Unemployment	94	47
reverse mortgage	33	24
welfare	12	94
withholdings	65	83
contracts	19	58
mortgage insurance	6	32
partnership	33	26
LLC	32	4
529 savings plans	11	28
payroll	6	5
capital gains tax	36	69
self-employed	46	1
used cars	30	71
Medicaid	14	18
Ad	89	89
Great Recession	77	88
down payment	25	71
federal taxes	62	42
revenue	80	57
credit bureaus	15	78
Liquidity	84	58
unemployment insurance	91	66
Form 1040	7	26
savings	14	35
Warren Buffett	70	28
corporation	4	14
Veterinary Practice	73	47
price	4	6
PayPal	61	85
inventory	5	43
Forex broker	81	93
FDIC	79	24
limit order	23	32
economic contraction	89	100
payday loan	7	92
click-through	24	22
MasterCard	20	12
federal funds rate	9	88
Bitcoin	75	9
crowdfunding campaign	75	53
asset classes	63	31
balance sheet	53	20
tax credits	46	21
municipal bonds	81	6
Hedge	57	35
FAFSA	81	44
online banking	86	85
earned income	34	13
risk	83	49
income taxation	49	56
gift card	28	85
Fixed-rate mortgages	58	73
recycling	88	60
high-yield bond	14	99
job interview	33	62
FICA tax	8	12
adjustable-rate mortgage	91	22
eviction	100	36
EMV chip	67	72
business	89	34
Tax Rates	22	38
short positions	96	66
mentees	28	56
Fannie Mae	95	62
Real estate investment trusts	54	24
loan-to-value ratio	91	50
security deposit	88	93
Facebook	1	35
iPhones	89	31
Hedge Funds	88	6
FHA loan	41	28
Money Order	87	99
whole life insurance	85	4
Money Market	72	96
credit unions	34	88
S corporations	91	8
financial advisors	21	40
central bank	2	44
Small Business Administration	85	6
immediate annuity	31	81
tax bracket	56	37
Credit card fraud	73	10
income statement	64	50
federal minimum wage	98	74
deed	36	42
financial market	7	76
lump sum	70	53
